hash,annotator,understand,purpose,bfc,bpc,prc,nfc,specification,asc,obvious,safety,timing,memory,info,safety_exp,time,see_commit_clicked,lore_clicked,lore_founded,is_merge_commit,is_part_patchset,lore_found
002752af7b,ollama_gpt-oss_120b,4,"The patch makes fwnode APIs accept error pointers by adding IS_ERR_OR_NULL checks and adjusting macros, so callers no longer need separate error handling, preventing reference‑count and crash bugs.",0,4,0,0,,,,,,,,,76.112,,,,,,
00aaca3d07,ollama_gpt-oss_120b,4,"Updates the QMP PHY devicetree binding YAML to correct the child‑node description from per‑lane to per‑PHY, fixing an inaccurate documentation statement.",0,0,4,0,,,,,,,,,61.389,,,,,,
00fa7f031d,ollama_gpt-oss_120b,3,"Adds core data structures, driver functions, DMUB command definitions, and debug options needed to support Firmware Assisted Memory Switching (FAMS) in AMD display driver.",0,0,0,4,,,,,,,,,108.726,,,,,,
016017a195,ollama_gpt-oss_120b,4,"Adds conditional compilation guards around x86‑specific code in ttm_module.c so the DRM TTM driver builds on User‑Mode Linux (ARCH=um), avoiding compile errors from undefined boot_cpu_data.",4,0,0,0,,,,,,,,,63.358,,,,,,
01c3f0387c,ollama_gpt-oss_120b,4,"Adds const qualifier to static arrays of struct qcom_icc_bcm pointers in the sc8280xp interconnect driver, making the pointers immutable for safety.",0,4,0,0,,,,,,,,,77.836,,,,,,
0209b5830b,ollama_gpt-oss_120b,3,"Adds CONFIG_32BIT guards to SBI PMU ecall arguments so that 64‑bit values are split correctly on RV32, fixing incorrect argument passing for counter configuration and start.",4,0,0,0,,,,,,,,,71.579,,,,,,
0255571a16,ollama_gpt-oss_120b,4,"The patch replaces direct struct cpu map accesses in perf tools with the perf_cpu_map API, using helper functions and iterators to improve safety and consistency.",0,0,4,0,,,,,,,,,99.464,,,,,,
0263256791,ollama_gpt-oss_120b,4,"Adds DMA allocation/free tracepoints, passes caller name to tracing, and introduces wrapper macros to expose this tracing capability.",0,0,0,4,,,,,,,,,65.021,,,,,,
0285042fed,ollama_gpt-oss_120b,4,"Refactors the cs42l42 driver by splitting probe/remove into bus‑specific, common, and register‑initialisation stages, adds common_probe/init/remove helpers, introduces an init_done flag and irq field, and updates the I2C probe flow to support future SoundWire integration.",0,0,4,0,,,,,,,,,68.126,,,,,,
029d6586dc,ollama_gpt-oss_120b,4,"Adds a device‑tree entry for the Qualcomm SC7280 Data Capture and Compare (DCC) hardware, defining its compatible strings and register address ranges.",0,0,0,4,,,,,,,,,61.318,,,,,,
